# list of object assets to load in this scene
[ASSETS]
mario.txt
brick.txt
coin.txt
goomba.txt
colorbox.txt
box.txt
koopas.txt
floor.txt
mushroom.txt
piranha.txt
fireball.txt
tube.txt
decoration.txt
button.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

# DECOR
# BUSH
8	160	180	16	16	3	730010	730010	730010
8	672	164	16	16	6	730010	730010	730010
8	1184	180	16	16	3	730010	730010	730010
8	1728	180	16	16	3	730010	730010	730010
8	1888	180	16	16	4	730010	730010	730010

8	72	160	128	64	1	740020	740020	740020
8	864	144	128	64	1	740020	740020	740020
8	1008	152	128	64	1	740020	740020	740020
8	2368	180	16	16	4	730010	730010	730010



#BGBLACK
8	2448	180	16	16	23	750010	750011	750011
8	2448	164	16	16	23	750010	750011	750011
8	2448	148	16	16	23	750010	750011	750011
8	2448	132	16	16	23	750010	750011	750011
8	2448	116	16	16	23	750010	750011	750011
8	2448	100	16	16	23	750010	750011	750011
8	2448	84	16	16	23	750010	750011	750011
8	2448	68	16	16	23	750010	750011	750011
8	2448	52	16	16	23	750010	750011	750011
8	2448	36	16	16	23	750010	750011	750011
8	2448	20	16	16	23	750010	750011	750011
8	2448	4	16	16	23	750010	750011	750011
8	2448	-12	16	16	23	750010	750011	750011
8	2448	-28	16	16	23	750010	750011	750011
8	2448	-44	16	16	23	750010	750011	750011
8	2448	-60	16	16	23	750010	750011	750011
8	2448	-76	16	16	23	750010	750011	750011
8	2448	-92	16	16	23	750010	750011	750011
8	2448	-108	16	16	23	750010	750011	750011



#WHITEBUSH
8	2584	139	80	98	1	760010	760010	760010
8	2736	163	48	50	1	760011	760011	760011

# CLOUD
8	112	64	15	22	4	711010	711020	711030
8	332	48	15	22	3	711010	711020	711030
8	640	64	15	22	3	711010	711020	711030
8	736	96	15	22	5	711010	711020	711030

8	1664	52	15	22	5	711010	711020	711030

# BOX
6	176	132	0
